"Date","DryBulb","RelHum"
"2016-07-02 18:35:00.0",31.1,63
"2016-07-02 18:40:00.0",27.7,59
"2016-07-02 18:45:00.0",27.8,62
"2016-07-02 18:50:00.0",30.4,60
"2016-07-02 18:55:00.0",30.3,62
"2016-07-02 19:00:00.0",29.4,62
"2016-07-02 19:05:00.0",31.1,65
"2016-07-02 19:10:00.0",27,62
"2016-07-02 19:15:00.0",27.5,61
"2016-07-02 19:20:00.0",28.6,68
"2016-07-02 19:25:00.0",29.3,62
"2016-07-02 19:30:00.0",29.4,63
"2016-07-02 19:35:00.0",28.1,67
"2016-07-02 19:40:00.0",26.9,72
"2016-07-02 19:45:00.0",27.5,69
"2016-07-02 19:50:00.0",26.8,71
"2016-07-02 19:55:00.0",26.3,66
"2016-07-02 20:00:00.0",26.8,68
"2016-07-02 20:05:00.0",29.6,72
"2016-07-02 20:10:00.0",27.9,72
"2016-07-02 20:15:00.0",27.6,75
"2016-07-02 20:20:00.0",28.3,66
"2016-07-02 20:25:00.0",28.9,65
"2016-07-02 20:30:00.0",27,73
"2016-07-02 20:35:00.0",28,71
"2016-07-02 20:40:00.0",27.5,76
"2016-07-02 20:45:00.0",29.3,74
"2016-07-02 20:50:00.0",28.5,71
"2016-07-02 20:55:00.0",26.4,78
"2016-07-02 21:00:00.0",25.3,74
"2016-07-02 21:05:00.0",25.2,73
"2016-07-02 21:10:00.0",27.8,79
"2016-07-02 21:15:00.0",25.2,76
"2016-07-02 21:20:00.0",26.9,77
"2016-07-02 21:25:00.0",28.5,79
"2016-07-02 21:30:00.0",28.4,82
"2016-07-02 21:35:00.0",27.9,83
"2016-07-02 21:40:00.0",25,80
"2016-07-02 21:45:00.0",27.5,82
"2016-07-02 21:50:00.0",25.2,83
"2016-07-02 21:55:00.0",26.7,84
"2016-07-02 22:00:00.0",25.9,80
"2016-07-02 22:05:00.0",27.9,87
"2016-07-02 22:10:00.0",27.4,81
"2016-07-02 22:15:00.0",26.3,83
"2016-07-02 22:20:00.0",24.1,81
"2016-07-02 22:25:00.0",24.5,83
"2016-07-02 22:30:00.0",24.5,82
"2016-07-02 22:35:00.0",26.5,83
"2016-07-02 22:40:00.0",27.2,81
"2016-07-02 22:45:00.0",26.2,80
"2016-07-02 22:50:00.0",25.6,82
"2016-07-02 22:55:00.0",24.5,84
"2016-07-02 23:00:00.0",25.4,88
"2016-07-02 23:05:00.0",26.9,80
"2016-07-02 23:10:00.0",24,84
"2016-07-02 23:15:00.0",25.5,90
"2016-07-02 23:20:00.0",24.8,90
"2016-07-02 23:25:00.0",25.5,90
"2016-07-02 23:30:00.0",24.9,86
"2016-07-02 23:35:00.0",26,89
"2016-07-02 23:40:00.0",27.4,90
"2016-07-02 23:45:00.0",26.6,86
"2016-07-02 23:50:00.0",24.4,90
"2016-07-02 23:55:00.0",27.2,90
"2016-07-03 00:00:00.0",25.8,88
"2016-07-03 00:05:00.0",25.8,90
